COMPOUND PHYSICAL PARAMETERS
IRC FILE NUMBER	B164
PHYSICAL STATE	Brownish-gray powder
pH	The pH of a 50% concentration of B164 in water was calculated to be 4.82 at 25°C according to the extrapolation procedures by Dr. P. D. Schickedantz, Lorillard Research Center Accession Number 1662.
SOLUBILITY	(See SOP for Biological Solutions)
ORAL	Reference: BC20-48
	B164 forms a suspension in corn oil at 0.5 g/1.5 ml
	Triple dosing is required
ACUTE CARDIOVASCULAR	(See SOP for Determination of Solubility of Materials for Acute Cardiovascular and Respiratory Effects Study in Beagle Dogs)
	Reference: BC20-48
	B164 is insoluble according to this procedure
STORAGE RECOMMENDATIONS	Refrigerate in amber glass bottle at no more than 8°C
COMPOUND SENSITIVE TO	[ ] AIR	[ ] HEAT	[ ] MOISTURE	[ ] OTHER
SAFETY COMMENTS (SUGGESTED HANDLING PROCEDURE)	
SIGNATURE	Amelia Poole
DATE	8/22/83
