BOUHIER MATHILDE	Lettre recommandée avec accusé  
LE GRAND CHAMPS	de réception  
06 660 AURON	

à	

MAIRIE	
5 place du pays de FRANCE	
95 700 Roissy EN FRANCE	

Auron, le 25 03 12007	

Monsieur le Maire,	

Lors de notre dernière entrevue, je vous informais une fois encore de la gêne occasionnée par les nuisances sonores du chien de mes voisins.	
Je constate aujourd’hui que, malgré mes nombreuses remarques à ce sujet, son comportement reste identique.	
Je ne puis supporter ce tapage plus longtemps !	
Aussi, je vous annonce que cette lettre est ma dernière tentative de conciliation.	
A défaut d’une attitude plus civilisée de sa part dans les jours qui viennent et n’ayant vu aucun résultat de votre part, je me verrai contrainte de saisir le tribunal d’instance et de porter plainte auprès du Procureur de la République.	
En espérant toutefois, ne pas en arriver à une telle extrémité, je vous prie d’agréer, Monsieur le Maire, l’expression de mes salutations distinguées.	

Bouhier
