Value	% Reduction		Value	% Reduction
0.00	100.0		0.36	40.3
0.05	91.7		0.37	38.6
0.10	83.4		0.38	37.0
0.11	81.8		0.39	35.3
0.12	80.1		0.40	33.7
0.13	78.4		0.41	32.0
0.14	76.8		0.42	30.4
0.15	75.1		0.43	28.7
0.16	73.5		0.44	27.0
0.17	71.8		0.45	25.4
0.18	70.2		0.46	23.7
0.19	68.5		0.47	22.1
0.20	66.8		0.48	20.4
0.21	65.2		0.49	18.7
0.22	63.5		0.50	17.1
0.23	61.9		0.51	15.4
0.24	60.2		0.52	13.8
0.25	58.5		0.53	12.1
0.26	56.9		0.54	10.5
0.27	54.8		0.55	8.8
0.28	53.6		0.56	7.1
0.29	51.9		0.57	5.5
0.30	50.3		0.58	3.8
0.3015	50.0		0.59	2.2
0.31	48.6		0.60	0.5
0.32	46.9		0.61	-1.16
0.33	45.3		
0.34	43.6		
0.35	42.0
