10/15/84

#106	60% CGPC	25% PC	5% K2CO3

Holes	wi.	CO	CO2	CO/wt (%)	ΔP, pps	CO/O2
1	120.5	5.2	16.4	4.3	7	0.111
3(c)	94.2	5.6	15.0	5.9	6	0.373
3(w)	94.4	8.8	19.3	7.3	6	0.456
9	89.9	13.5	18.9	15.9	4.75	0.714

#118	45% PC	45% CGPC

1	120.0	3.4	11.5	2.5	6.3	0.260

#110	45% PC	45% PC

1	147	1.1	12.6	0.7	6.3	0.037

#101	70% CGPC

1	95.6	8.7	17.5	9.1	7.0	0.457

[Graph]

Carbon	wt. CGPC	CO/wt. CGPC
106	72.3	7.2%
118	54.0	6.3%
101	36.0	10.1%

Carbon	wt. CGPC	CO/total fuel
101	95.6	7.1%
106	84.4	6.2%
118	66.0	5.2%
110	14.7	7.5%
