GROUP A	WTPM	NIC	B3	PUFFS
1	35.0	1068	15.3	16
2	37.1	1133	18.2	17
3	39.1	1030	18.8	16
4	36.6	1065	15.6	17
5	37.5	1164	16.8	17
6	39.3	1168	18.9	16
7	37.6	1247	16.0	16
8	36.7	1064	16.4	16
9	37.8	1168	17.6	17
10	35.3	1205	15.2	16
11	36.0	1198	15.9	16
12	36.6	1178	16.2	17
	37.0	1141	16.73	16

GROUP B	WTPM	NIC	B3	PUFFS
1	38.5	1285	17.2	17
2	36.7	1080	16.0	16
3	39.6	1196	18.4	16
4	38.4	1225	18.3	16
5	38.8	1248	18.8	17
6	36.1	1107	17.6	16
7	36.9	1307	16.1	17
8	33.5	1094	13.5	17
9	35.5	1173	16.3	16
10	37.2	1234	18.1	17
11	38.9	1180	18.4	16
12	35.9	1148	15.4	17
	37.2	1190	17.02	17
