Currently used Flavors

0-162	57.552	(Tob)
0-163	57.652	(Tob)
* 0-164	57.623A	(Tob)
0-289	586.488A	(But)
* 0-291	586.487/T	(Nat)
0-300	586.629	(A But)	was 57.631/A	(0-160)
0-301	586.674	(Tob)	was 52.648	(0-166)
0-306	586.6521A	(Bit & Cc.)	was 586.351/A	(0-252)
0-307	586.633	(choc)	was 586.356	(0-288)
0-313	586.643	(Tob)	was 586.491	(0-258)
0-314	586.649	(Tob)	was 586.565	(0-286)
0-315	586.644	(Tob)	was 586.509	(0-287)
0-316	586.673	(Tob)	was 586.590	(0-288)
0-318	586.638	(choc)	586.352/T	(0-264)
		51323 2194	586.414	(0-290)
				586.497	(0-293)
